,Actives,Team,Week,Year
0,Sam Batson; Sun Choi; Karl Ekwurtzel; Brett Hulsmeyer; Elijah Jaime; Matthew Knowles; Paul Lally**; Will Lindquist**; Mac McClellan; Taylor Minch; Javier Ortiz; Player Pierce**; Devon Rogers; Matt Smith; Trenton Spinks; Austin Taylor; Alex Trautman; Josh Turner; Kelvin Williams; Joel Wooten,Atlanta Hustle,1,2019
1,Matthew Bennett; Michael Cramer; Chase Cunningham; Brandon Dial; Brian Gfroerer; Kyle Henke; Jason Holleran; Carter Hollo; Robert Lewis; Jeff Loskorn; Wuensch Mason; Michael Matthis; Rory Orloff; Ryan Purcell; Doug Richardson; Andrew Walch; John Walter; Jerrod Wolfe; Joshua Zdrodowski; Jimmy Zuraw,Austin Sol,1,2019
2,Matthew Armour; Noah Chambers; Joel Clutton; Abe Coffin; Dan Emmons; Jay Froude; Henry Furuta; Dillon Larberg; Ben Lewis; Brandon Malecek; Zach Marbach; Kai Marshall; Kaplan Maurer; Griffin Miller; Connor Olson; Stephen Poulos; Jake Reinhardt; Thomas Slack; Dalton Smith; Carson Wilder,Dallas Roughnecks,1,2019
3,Tyler Bacon; Tim Beatty; Kyle Conniff; Alex Drum; Collin Gall; Joc Jimenez; Michael Kiyoi; Ryan Lepore; Eric Lissner; Sean McDougall; Sam Plasman; Nate Ransom; Garrett Santi; Zac Schakner; Jeff Silverman; Ryan Smith; Mitchell Steiner; Zachary Theodore; Matt Theologidy; Aaron Weaver,Los Angeles Aviators,1,2019
4,Kiron Allen; Jacob Fairfax; Henry Fisher; Mischa Freystaetter; Josh Hartzog; JD Hastings; Allan Laviolette; Johnnie Lynch; Tim McAllister; Andrew McKelvey; Terrence Mitchell; Jacob Mouw; Charlie Muniz ; Jeff Nordgren; Jakeem Polk; David Richardson; Noah Saul; Eric Taylor; Ross Ward; Sol Yanuck,Raleigh Flyers,1,2019
5,Nathan Bridges; Travis Dunn; Sam Fontaine; Wesley Groth; Jake Gutkowski; Sean Ham; Jonathan Helton; Maxwell Hume; Andrew Kohl; Joshua Kohl; Mark (Dom) Leggio; Steven Milardovich; Marcel Osborne; Trevor Purdy; Scott Radlauer; Ryo Senda**; Mark Slader; Michael Tran; William Turner; Bailey Wu,San Diego Growlers,1,2019
6,Chuck Cao; Steven Chang; Matt Crawford; Antoine Davis; Ethan Falat; Brandon Fein; Lior Givol; Jacob Greenberg; Keenan Laurence; Ben Levinsky; Justin Norden; Alex Pan; Mark Philipson; Brian Roach; Marcelo Sanchez; Earley Shane; Jackson Stearns; Gabe Taylor; Munis Thahir; Robert Yeagle,San Jose Spiders,1,2019
7,Jesse Bolton; Jay Boychuk; Jack Brown; Mark Burton; Dennis Casio; Zhi Chen; William Coffin; Charlie Eide; Khalif El-Salaam; Kahyee Fong**; Peter Geertz-Larson; Brad Houser; Thomas Lassetter; Steph Lim; Nick Mahan**; Marc Munoz; Henry Phan; Kodi Smart; Keegan Taggart; Shane Worthington**,Seattle Cascades,1,2019
8,Craig Anderson; Alex Bullock; Adam Carr; Ryan Chard; Jacob Clary; James Franklin; Ryan Hiser; Jack Kern; Josh Layton; Tim Lootens; Billy O'Bryan; Unmil Patel; Bobby Patterson; Brandon Perales; Tanner Repasky; Andrew Roney; Bradley Seuntjens; Dustin Travaglini; Adam Vinson; Hayden Wachob,Tampa Bay Cannons,1,2019
9,Zach Avello; Josh Bush; Sun Choi; Jason Crowe; Karl Ekwurtzel; Brett Hulsmeyer; Elijah Jaime; Matthew Knowles; Paul Lally; Mac McClellan; Christian Olsen; Player Pierce; Carter Rae; Devon Rogers; Matt Smith; Trenton Spinks**; Austin Taylor; Alex Trautman; Josh Turner; Kelvin Williams,Atlanta Hustle,2,2019
10,Matthew Bennett; Mitch Bennett; Matt Bierschenk; Eric Brodbeck; John Cecil; Michael Cramer; Brian Gfroerer; Kyle Henke; Robert Lewis; Jeff Loskorn; Michael Matthis; Rory Orloff; Ethan Pollack; Ryan Purcell; Doug Richardson; Austin Walker; John Walter; Mason Wuensch; Joshua Zdrodowski; Jimmy Zuraw,Austin Sol,2,2019
11,Matthew Armour; Alex Brouwer; Noah Chambers; Joel Clutton; Abe Coffin; Dan Emmons; Jay Froude; Abe Gambert; Matt Jackson; Ben Lewis; Kai Marshall; Kaplan Maurer; Wesley Miaw; Griffin Miller; Stephen  Poulos; Jake Reinhardt; Dalton Smith; Connor  Ughetta; Sam Ward; Carson Wilder,Dallas Roughnecks,2,2019
12,Jarrod Banks; Quinn Bergeron; David Bloodgood; Jay Boyle; Garrett Braun; Max Cassell**; Matt Cullom**; Kristopher Harrison; Cody Johnston; Xavier Maxstadt; Matthew McDonnell; Anthony McLean; Ray Mendoza; AJ Merriman; Matt Neeley; Houston Parks; Nathan Prior; David Shields; Kyle Vezina; Dane Warner,DC Breeze,2,2019
13,Cameron Brock; Peter Carleton; Travis Carpenter; Kyle Cox; Sam Ellison**; Rick Gross; Alex Henderson; Conner Henderson; David Hortemiller; Dusty Hughes; Nick Hutton; Levi Jacobs; Heath Kalaba; Spencer Loscar; Brett Matzuka; Chris Miller**; Keegan North; Keenan Plew; Colin Ringwood; Donovan Triplett,Indianapolis AlleyCats,2,2019
14,Tyler Bacon; Tim Beatty; Xavier Charles; Alex Drum; Collin Gall; Joc Jimenez; Nate Kirchhofer; Michael Kiyoi; Danny Landesman; Eric Lissner; Sean McDougall; Sam Plasman; Nate Ransom; Zachary Schakner; Jeff Silverman; Mitchell Steiner; Matt Theologidy; Zachary Theordore; Evan Valdez; Aarom Weaver,Los Angeles Aviators,2,2019
15,Nate Bosscher; Kevin Brown; Colin Camp; Thomas Coolidge; Colin Grandon; Avery Johnson; Sterling Knoche; Michael Kobyra; Victor Luo; Chase Marty; Andrew Meshnick; Ben Nelson; Kevin Pettit-Scantling; Logan Pruess; Brett Robinson; Pat Shriwise; Daniel Vockeroth; Chris Wilen; Joshua Wilson; Dave Wiseman,Madison Radicals,2,2019
16,Albert Alarcon; Josue Alorro; Matthew Auletta; Jeff Babbitt; Ryan Brown; Marques Brownlee; Mike Drost; Ryan Drost; Harper Garvey; Alex Isik; Ben Jagt; Ben Katz**; Beau Kittredge; Conor Kline; Matt Lemar; Grant Lindsley; TJ Stanton; Matthew Stevens; Matthew Weintraub; Jack Williams,New York Empire,2,2019
17,Justin Allen ; Chuck Cantone; Andrew Cohen; Kamron Daftari; Jacob Fairfax; Henry Fisher; Mischa Freystaetter; Tristan Green; Allan Laviolette; Johnnie Lynch; Andrew McKelvey; Terrence Mitchell; Charlie Muniz ; Jakeem Polk; David Richardson; Noah Saul; Vikram Sethuraman; Eric Taylor; Ross Ward; Sol Yanuck,Raleigh Flyers,2,2019
18,Travis Dunn; Sam Fontaine; Wesley Groth; Jake Gutkowski; Aidan Hall; Sean Ham; Jonathan Helton; Maxwell Hume; Joseph Huppert; Steven Milardovich; Marcel Osborne; Trevor Purdy; Scott Radlauer; David Ritchie; Kyle Rubin; Ryo Senda; Kyle Smith; Reggie Sung; William Turner; Bailey Wu,San Diego Growlers,2,2019
19,Chuck  Cao; Steven Chang; Matt Crawford; Antoine Davis; Shane Earley; Ethan Falat; Brandon Fein; Jacob Greenberg; Keenan Laurence; Ben Levinsky; Justin Norden; Mark Philipson; Cyrus Ready Campbell; Brian Roach; Marcelo Sanchez; Aaron  Shi; Jackson Stearns; Skylohr Taylor; Gabe Taylor; Munis Thahir,San Jose Spiders,2,2019
20,"Zack Avello; Josh Bush; Sun Choi; Jason Crowe; Phillip Dougherty; Karl Ekwurtzel; Matthew Knowles; Mac McClellan; Christian Olsen; Javier Ortiz; Jaime Perez; Player Pierce; Carter Rae; Matt Smith; Trenton Spinks; Austin Taylor; Alex Trautman; Josh Turner; Kelvin Williams; Joel Wooten; Inactive: Elijah Jaime, Brett Hulsmeyer",Atlanta Hustle,3,2019
